Law ID,State,ST,Year,Suicides,Homicides,len_text,sentiment_score,Income,Pop,DEM_Perc,GOP_Perc,HuntLic,UniqueID,GunsAmmo,avg_own_est,SuicidesB3,HomicidesB3,SuicidesA3,HomicidesA3
CA1050,California,CA,1998,5.5,4.62,264,0.536844552,40934,32682794,0.572,0.428,0.097368633,California_1998,-1.056209347,0.198553994,5.963333333,6.83,4.663333333,4.196666667
CA1051,California,CA,2014,3.9,3.14,264,0.536844552,60487,38586706,0.607,0.393,0.146260652,California_2014,-1.477369406,0.187158672,4.003333333,3.406666667,3.833333333,3.62
CA1056,California,CA,1991,6.91,8.74,450,0.564838469,33664,30414114,0.482,0.518,0.154076373,California_1991,-0.019359884,0.35251906,0,0,6.936666667,9.24
CA1057,California,CA,1994,6.77,8.91,556,0.509805024,35331,31317179,0.585,0.415,0.173162217,California_1994,-0.094675562,0.234772232,6.983333333,9.183333333,5.963333333,6.83
CA1058,California,CA,2002,4.5,4.95,158,0.640957415,47437,34871843,0.562,0.438,0.156495978,California_2002,-1.183212923,0.207165818,4.663333333,4.196666667,4.093333333,4.9
CA1059,California,CA,2004,4,4.86,1526,0.558613002,49222,35574576,0.55,0.45,0.154942574,California_2004,-1.062389653,0.226542805,4.463333333,4.726666667,3.846666667,4.826666667
CA1060,California,CA,2013,3.96,3.35,365,0.599698842,60794,38253768,0.607,0.393,0.145863724,California_2013,-1.434835333,0.235708797,4.006666667,3.446666667,3.846666667,3.45
CA1061,California,CA,2013,3.96,3.35,365,0.599698842,60794,38253768,0.607,0.393,0.145863724,California_2013,-1.434835333,0.235708797,4.006666667,3.446666667,3.846666667,3.45
CA1062,California,CA,2016,3.86,3.69,379,0.594969273,66637,39149186,0.651,0.349,0.160670983,California_2016,-1.473129582,0.213434158,3.88,3.336666667,3.88,3.435
CA1063,California,CA,2016,3.86,3.69,397,0.597884119,66637,39149186,0.651,0.349,0.160670983,California_2016,-1.473129582,0.213434158,3.88,3.336666667,3.88,3.435
CA1064,California,CA,2016,3.86,3.69,1371,0.620935082,66637,39149186,0.651,0.349,0.160670983,California_2016,-1.473129582,0.213434158,3.88,3.336666667,3.88,3.435
CA1065,California,CA,2016,3.86,3.69,1463,0.59694916,66637,39149186,0.651,0.349,0.160670983,California_2016,-1.473129582,0.213434158,3.88,3.336666667,3.88,3.435
CA1067,California,CA,2003,4.44,4.83,216,0.515811503,49300,35253159,0.562,0.438,0.154670221,California_2003,-1.104677471,0.215295922,4.54,4.52,3.86,4.95
CA1068,California,CA,2015,3.78,3.52,348,0.572526217,63636,38904296,0.607,0.393,0.145829198,California_2015,-1.508137086,0.235507313,3.95,3.33,3.873333333,3.52
CA1072,California,CA,1994,6.77,8.91,1133,0.547288954,35331,31317179,0.585,0.415,0.173162217,California_1994,-0.094675562,0.234772232,6.983333333,9.183333333,5.963333333,6.83
CA1073,California,CA,1998,5.5,4.62,755,0.561921239,40934,32682794,0.572,0.428,0.097368633,California_1998,-1.056209347,0.198553994,5.963333333,6.83,4.663333333,4.196666667
CA1077,California,CA,2014,3.9,3.14,1875,0.584729433,60487,38586706,0.607,0.393,0.146260652,California_2014,-1.477369406,0.187158672,4.003333333,3.406666667,3.833333333,3.62
CA1078,California,CA,1994,6.77,8.91,254,0.599439323,35331,31317179,0.585,0.415,0.173162217,California_1994,-0.094675562,0.234772232,6.983333333,9.183333333,5.963333333,6.83
CA1079,California,CA,2015,3.78,3.52,254,0.599439323,63636,38904296,0.607,0.393,0.145829198,California_2015,-1.508137086,0.235507313,3.95,3.33,3.873333333,3.52
CA1080,California,CA,2000,4.67,4.21,1163,0.565049708,46816,33987977,0.562,0.438,0.157698424,California_2000,-1.125090262,0.28960494,5.356666667,4.823333333,4.463333333,4.726666667
