State,index,Pop,Year
Alaska,1,659286,2004
Arizona,2,5652404,2004
Arkansas,3,2749686,2004
California,4,35574576,2004
Colorado,5,4575013,2004
Connecticut,6,3496094,2004
Delaware,7,830803,2004
District of Columbia,8,567754,2004
Florida,9,17415318,2004
Georgia,10,8769252,2004
Hawaii,11,1273569,2004
Idaho,12,1391802,2004
Illinois,13,12589773,2004
Indiana,14,6233007,2004
Iowa,15,2953635,2004
Kansas,16,2734373,2004
Kentucky,17,4146100,2004
Louisiana,18,4552238,2004
Maine,19,1313688,2004
Maryland,20,5546935,2004
Massachusetts,21,6412281,2004
Michigan,22,10055315,2004
Minnesota,23,5087713,2004
Mississippi,24,2889010,2004
Missouri,25,5747741,2004
Montana,26,930009,2004
Nebraska,27,1749370,2004
Nevada,28,2346222,2004
New Hampshire,29,1290121,2004
New Jersey,30,8634561,2004
New Mexico,31,1903808,2004
New York,32,19171567,2004
North Carolina,33,8553152,2004
North Dakota,34,644705,2004
Ohio,35,11452251,2004
Oklahoma,36,3525233,2004
Oregon,37,3569463,2004
Pennsylvania,38,12410722,2004
Rhode Island,39,1074579,2004
South Carolina,40,4210921,2004
South Dakota,41,770396,2004
Tennessee,42,5910809,2004
Texas,43,22394023,2004
Utah,44,2401580,2004
Vermont,45,619920,2004
Virginia,46,7475575,2004
Washington,47,6178645,2004
West Virginia,48,1816438,2004
Wisconsin,49,5514026,2004
Wyoming,50,509106,2004
Alabama,0,4569805,2005
Alaska,1,666946,2005
Arizona,2,5839077,2005
Arkansas,3,2781097,2005
California,4,35827943,2005
Colorado,5,4631888,2005
Connecticut,6,3506956,2005
Delaware,7,845150,2005
District of Columbia,8,567136,2005
Florida,9,17842038,2005
Georgia,10,8925922,2005
Hawaii,11,1292729,2005
Idaho,12,1428241,2005
Illinois,13,12609903,2005
Indiana,14,6278616,2005
Iowa,15,2964454,2005
Kansas,16,2745299,2005
Kentucky,17,4182742,2005
Louisiana,18,4576628,2005
Maine,19,1318787,2005
Maryland,20,5592379,2005
Massachusetts,21,6403290,2005
Michigan,22,10051137,2005
Minnesota,23,5119598,2005
Mississippi,24,2905943,2005
Missouri,25,5790300,2005
Montana,26,940102,2005
Nebraska,27,1761497,2005
Nevada,28,2432143,2005
New Hampshire,29,1298492,2005
New Jersey,30,8651974,2005
New Mexico,31,1932274,2005
New York,32,19132610,2005
North Carolina,33,8705407,2005
North Dakota,34,646089,2005
Ohio,35,11463320,2005
Oklahoma,36,3548597,2005
Oregon,37,3613202,2005
Pennsylvania,38,12449990,2005
Rhode Island,39,1067916,2005
South Carolina,40,4270150,2005
South Dakota,41,775493,2005
Tennessee,42,5991057,2005
Texas,43,22778123,2005
Utah,44,2457719,2005
Vermont,45,621215,2005
Virginia,46,7577105,2005
Washington,47,6257305,2005
West Virginia,48,1820492,2005
Wisconsin,49,5546166,2005
Wyoming,50,514157,2005
Alabama,0,4628981,2006
Alaska,1,675302,2006
Arizona,2,6029141,2006
Arkansas,3,2821761,2006
California,4,36021202,2006
Colorado,5,4720423,2006
Connecticut,6,3517460,2006
Delaware,7,859268,2006
District of Columbia,8,570681,2006
Florida,9,18166990,2006
Georgia,10,9155813,2006
Hawaii,11,1309731,2006
Idaho,12,1468669,2006
Illinois,13,12643955,2006
Indiana,14,6332669,2006
Iowa,15,2982644,2006
Kansas,16,2762931,2006
Kentucky,17,4219239,2006
Louisiana,18,4302665,2006
Maine,19,1323619,2006
Maryland,20,5627367,2006
Massachusetts,21,6410084,2006
Michigan,22,10036081,2006
Minnesota,23,5163555,2006
Mississippi,24,2904978,2006
Missouri,25,5842704,2006
Montana,26,952692,2006
Nebraska,27,1772693,2006
Nevada,28,2522658,2006
New Hampshire,29,1308389,2006
New Jersey,30,8661679,2006
New Mexico,31,1962137,2006
New York,32,19104631,2006
North Carolina,33,8917270,2006
North Dakota,34,649422,2006
Ohio,35,11481213,2006
Oklahoma,36,3594090,2006
Oregon,37,3670883,2006
Pennsylvania,38,12510809,2006
Rhode Island,39,1063096,2006
South Carolina,40,4357847,2006
South Dakota,41,783033,2006
Tennessee,42,6088766,2006
Texas,43,23359580,2006
Utah,44,2525507,2006
Vermont,45,622892,2006
Virginia,46,7673725,2006
Washington,47,6370753,2006
West Virginia,48,1827912,2006
Wisconsin,49,5577655,2006
Wyoming,50,522667,2006
Alabama,0,4672840,2007
Alaska,1,680300,2007
Arizona,2,6167681,2007
Arkansas,3,2848650,2007
California,4,36250311,2007
Colorado,5,4803868,2007
Connecticut,6,3527270,2007
Delaware,7,871749,2007
District of Columbia,8,574404,2007
Florida,9,18367842,2007
Georgia,10,9349988,2007
Hawaii,11,1315675,2007
Idaho,12,1505105,2007
Illinois,13,12695866,2007
Indiana,14,6379599,2007
Iowa,15,2999212,2007
Kansas,16,2783785,2007
Kentucky,17,4256672,2007
Louisiana,18,4375581,2007
Maine,19,1327040,2007
Maryland,20,5653408,2007
Massachusetts,21,6431559,2007
Michigan,22,10001284,2007
Minnesota,23,5207203,2007
Mississippi,24,2928350,2007
Missouri,25,5887612,2007
Montana,26,964706,2007
Nebraska,27,1783440,2007
Nevada,28,2601072,2007
New Hampshire,29,1312540,2007
New Jersey,30,8677885,2007
New Mexico,31,1990070,2007
New York,32,19132335,2007
North Carolina,33,9118037,2007
North Dakota,34,652822,2007
Ohio,35,11500468,2007
Oklahoma,36,3634349,2007
Oregon,37,3722417,2007
Pennsylvania,38,12563937,2007
Rhode Island,39,1057315,2007
South Carolina,40,4444110,2007
South Dakota,41,791623,2007
Tennessee,42,6175727,2007
Texas,43,23831983,2007
Utah,44,2597746,2007
Vermont,45,623481,2007
Virginia,46,7751000,2007
Washington,47,6461587,2007
West Virginia,48,1834052,2007
Wisconsin,49,5610775,2007
Wyoming,50,534876,2007
Alabama,0,4718206,2008
Alaska,1,687455,2008
Arizona,2,6280362,2008
Arkansas,3,2874554,2008
California,4,36604337,2008
Colorado,5,4889730,2008
Connecticut,6,3545579,2008
Delaware,7,883874,2008
District of Columbia,8,580236,2008
Florida,9,18527305,2008
Georgia,10,9504843,2008
Hawaii,11,1332213,2008
Idaho,12,1534320,2008
Illinois,13,12747038,2008
Indiana,14,6424806,2008
Iowa,15,3016734,2008
Kansas,16,2808076,2008
Kentucky,17,4289878,2008
Louisiana,18,4435586,2008
Maine,19,1330509,2008
Maryland,20,5684965,2008
Massachusetts,21,6468967,2008
Michigan,22,9946889,2008
Minnesota,23,5247018,2008
Mississippi,24,2947806,2008
Missouri,25,5923916,2008
Montana,26,976415,2008
Nebraska,27,1796378,2008
Nevada,28,2653630,2008
New Hampshire,29,1315906,2008
New Jersey,30,8711090,2008
New Mexico,31,2010662,2008
New York,32,19212436,2008
North Carolina,33,9309449,2008
North Dakota,34,657569,2008
Ohio,35,11515391,2008
Oklahoma,36,3668976,2008
Oregon,37,3768748,2008
Pennsylvania,38,12612285,2008
Rhode Island,39,1055003,2008
South Carolina,40,4528996,2008
South Dakota,41,799124,2008
Tennessee,42,6247411,2008
Texas,43,24309039,2008
Utah,44,2663029,2008
Vermont,45,624151,2008
Virginia,46,7833496,2008
Washington,47,6562231,2008
West Virginia,48,1840310,2008
Wisconsin,49,5640996,2008
Wyoming,50,546043,2008
Alabama,0,4757938,2009
Alaska,1,698895,2009
Arizona,2,6343154,2009
Arkansas,3,2896843,2009
California,4,36961229,2009
Colorado,5,4972195,2009
Connecticut,6,3561807,2009
Delaware,7,891730,2009
District of Columbia,8,592228,2009
Florida,9,18652644,2009
Georgia,10,9620846,2009
Hawaii,11,1346717,2009
Idaho,12,1554439,2009
Illinois,13,12796778,2009
Indiana,14,6459325,2009
Iowa,15,3032870,2009
Kansas,16,2832704,2009
Kentucky,17,4317074,2009
Louisiana,18,4491648,2009
Maine,19,1329590,2009
Maryland,20,5730388,2009
Massachusetts,21,6517613,2009
Michigan,22,9901591,2009
Minnesota,23,5281203,2009
Mississippi,24,2958774,2009
Missouri,25,5961088,2009
Montana,26,983982,2009
Nebraska,27,1812683,2009
Nevada,28,2684665,2009
New Hampshire,29,1316102,2009
New Jersey,30,8755602,2009
New Mexico,31,2036802,2009
New York,32,19307066,2009
North Carolina,33,9449566,2009
North Dakota,34,664968,2009
Ohio,35,11528896,2009
Oklahoma,36,3717572,2009
Oregon,37,3808600,2009
Pennsylvania,38,12666858,2009
Rhode Island,39,1053646,2009
South Carolina,40,4589872,2009
South Dakota,41,807067,2009
Tennessee,42,6306019,2009
Texas,43,24801761,2009
Utah,44,2723421,2009
Vermont,45,624817,2009
Virginia,46,7925937,2009
Washington,47,6667426,2009
West Virginia,48,1847775,2009
Wisconsin,49,5669264,2009
Wyoming,50,559851,2009
Alabama,0,4785514,2010
Alaska,1,713982,2010
Arizona,2,6407342,2010
Arkansas,3,2921998,2010
California,4,37319550,2010
Colorado,5,5047539,2010
Connecticut,6,3579173,2010
Delaware,7,899647,2010
District of Columbia,8,605282,2010
Florida,9,18846143,2010
