Year,ST,Permissive,Restrictive,background checks,carrying a concealed weapon (ccw),castle doctrine,child access laws,dealer license,firearm sales restrictions,minimum age,open carry,permit to purchase,prohibited possessor,registration,safety training required,waiting period,Implement,Modify,Repeal,universl,permit,sentiment_score,HuntLic,GunsAmmo,BackChk,avg_own_est,Suicides,Homicides
2018.0,DE,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.6,0.4,0.9894212881724039,0.20988240399999997,-0.7320024634,-0.57965307,0.32905800160000004,5.72,5.510000000000001
1991.0,FL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9777440428733826,0.161151377,-0.776058639,0.48498398619999994,0.45898163550000004,9.24,7.35
1994.0,FL,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.9958961208661398,0.152992051,-0.731000458,0.48498398619999994,0.302502507,8.54,6.510000000000001
1998.0,FL,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9872293770313263,0.145871594,-1.087856383,0.03147561040000002,0.25486946,7.1,4.56
2003.0,FL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.898464560508728,0.135706381,-1.129050294,-0.813501507,0.253667045,6.75,4.07
2005.0,FL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9298450350761414,0.132481328,-1.151089188,-0.686884894,0.3792889359333333,5.96,3.74
2018.0,FL,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,6.0,3.0,0.0,0.8,0.4,0.9917847514152527,0.2180196966,-0.5108819468,0.11290537739999999,0.3611746177,7.58,4.95
1994.0,GA,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.9782260060310364,0.364525228,-0.587808314,0.48498398619999994,0.443899994,9.01,7.68
1996.0,GA,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.8303574919700623,0.352268091,-0.86156402,0.5636920524,0.4846291005,8.81,6.59
1998.0,GA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9770532846450806,0.326242109,-0.832838437,0.4249974454,0.447601539,7.88,5.12
